기간	자치구	행정동	구분	계	0~4세	5~9세	10~14세	15~19세	20~24세	25~29세	30~34세	35~39세	40~44세	45~49세	50~54세	55~59세	60~64세	65~69세	70~74세	75~79세	80~84세	85~89세	90~94세	95~99세	100세 이상
2018	종로구	부암동	외국인	388	1	2	2	12	161	74	54	36	12	14	8	3	3	2	3	-	-	1	-	-	-
2018	종로구	평창동	계	19,105	578	655	771	1,144	1,411	1,309	1,087	1,302	1,237	1,741	1,664	1,680	1,372	885	755	651	452	233	116	38	24
2018	종로구	평창동	한국인	18,951	576	655	770	1,138	1,403	1,297	1,076	1,283	1,219	1,724	1,651	1,658	1,357	880	754	649	450	233	116	38	24
2018	종로구	평창동	외국인	154	2	-	1	6	8	12	11	19	18	17	13	22	15	5	1	2	2	-	-	-	-
2018	종로구	무악동	계	8,260	272	417	476	536	494	425	364	556	654	922	643	666	528	388	304	293	186	77	29	14	16
2018	종로구	무악동	한국인	8,215	267	415	476	535	491	420	359	552	647	912	642	664	528	388	304	293	186	77	29	14	16
2018	종로구	무악동	외국인	45	5	2	-	1	3	5	5	4	7	10	1	2	-	-	-	-	-	-	-	-	-
2018	종로구	교남동	계	10,846	488	464	409	464	633	775	926	1,044	898	1,028	806	768	660	454	356	360	183	76	30	11	13
2018	종로구	교남동	한국인	10,701	483	459	406	459	621	764	897	1,026	886	1,018	792	758	654	450	356	359	183	76	30	11	13
2018	종로구	교남동	외국인	145	5	5	3	5	12	11	29	18	12	10	14	10	6	4	-	1	-	-	-	-	-
2018	종로구	가회동	계	4,546	92	137	165	219	263	266	275	360	350	466	363	384	304	257	241	202	100	56	32	7	7
2018	종로구	가회동	한국인	4,429	91	136	161	213	258	260	260	341	341	454	352	372	297	249	241	201	100	56	32	7	7
2018	종로구	가회동	외국인	117	1	1	4	6	5	6	15	19	9	12	11	12	7	8	-	1	-	-	-	-	-
2018	종로구	종로1.2.3.4가동	계	8,462	167	164	111	229	505	621	590	581	513	667	698	901	843	585	441	396	212	116	54	34	34
2018	종로구	종로1.2.3.4가동	한국인	7,420	121	121	84	162	396	537	470	465	397	570	618	829	812	565	435	392	210	115	53	34	34
2018	종로구	종로1.2.3.4가동	외국인	1,042	46	43	27	67	109	84	120	116	116	97	80	72	31	20	6	4	2	1	1	-	-
2018	종로구	종로5·6가동	계	5,597	66	78	116	231	531	543	381	323	292	457	514	545	429	311	311	222	133	62	29	16	7
2018	종로구	종로5·6가동	한국인	5,225	61	70	108	203	445	503	350	281	272	431	492	513	408	309	311	222	133	61	29	16	7
2018	종로구	종로5·6가동	외국인	372	5	8	8	28	86	40	31	42	20	26	22	32	21	2	-	-	-	1	-	-	-
2018	종로구	이화동	계	8,621	162	164	225	354	876	1,215	798	659	492	632	586	606	510	394	322	308	176	88	29	14	11
2018	종로구	이화동	한국인	8,083	153	161	224	293	650	1,119	752	633	468	619	570	599	503	391	322	308	176	88	29	14	11
2018	종로구	이화동	외국인	538	9	3	1	61	226	96	46	26	24	13	16	7	7	3	-	-	-	-	-	-	-
2018	종로구	창신1동	계	6,237	104	112	124	216	459	441	351	355	386	539	647	746	588	396	282	270	124	52	28	11	6
2018	종로구	창신1동	한국인	5,364	90	95	113	186	293	357	274	298	320	436	550	633	561	387	281	270	124	51	28	11	6
2018	종로구	창신1동	외국인	873	14	17	11	30	166	84	77	57	66	103	97	113	27	9	1	-	-	1	-	-	-
2018	종로구	창신2동	계	10,015	172	198	213	455	856	774	576	569	576	948	1,136	1,075	794	536	424	379	210	70	33	10	11
2018	종로구	창신2동	한국인	8,780	146	179	206	409	641	643	477	491	509	838	980	883	729	519	422	377	207	70	33	10	11
2018	종로구	창신2동	외국인	1,235	26	19	7	46	215	131	99	78	67	110	156	192	65	17	2	2	3	-	-	-	-
2018	종로구	창신3동	계	7,439	246	219	279	344	538	567	569	555	464	631	641	693	558	335	276	258	139	78	27	11	11
2018	종로구	창신3동	한국인	7,254	237	212	274	340	504	546	547	535	450	612	630	683	552	335	274	257	139	78	27	11	11
2018	종로구	창신3동	외국인	185	9	7	5	4	34	21	22	20	14	19	11	10	6	-	2	1	-	-	-	-	-
2018	종로구	숭인1동	계	6,723	183	186	195	264	421	520	483	519	462	612	612	627	491	371	258	265	145	68	24	9	8
2018	종로구	숭인1동	한국인	6,376	170	179	191	257	382	487	434	481	433	574	575	590	479	367	258	265	145	68	24	9	8
2018	종로구	숭인1동	외국인	347	13	7	4	7	39	33	49	38	29	38	37	37	12	4	-	-	-	-	-	-	-
2018	종로구	숭인2동	계	10,088	172	180	155	310	797	1,216	925	706	595	813	884	941	791	529	404	348	182	80	32	11	17
2018	종로구	숭인2동	한국인	9,608	168	179	155	295	667	1,150	877	666	573	781	849	888	767	523	401	347	182	80	32	11	17
2018	종로구	숭인2동	외국인	480	4	1	-	15	130	66	48	40	22	32	35	53	24	6	3	1	-	-	-	-	-
2018	종로구	청운효자동	계	13,293	428	538	632	733	879	835	866	1,098	1,079	1,263	1,087	928	755	579	540	506	319	137	53	22	16
2018	종로구	청운효자동	한국인	13,045	425	535	629	715	830	823	837	1,062	1,057	1,255	1,073	914	741	565	536	503	319	135	53	22	16
2018	종로구	청운효자동	외국인	248	3	3	3	18	49	12	29	36	22	8	14	14	14	14	4	3	-	2	-	-	-
2018	종로구	혜화동	계	20,366	317	522	602	1,288	4,268	2,647	1,363	1,135	1,088	1,359	1,173	1,144	908	628	670	617	365	186	56	14	16
2018	종로구	혜화동	한국인	17,083	310	514	598	829	2,218	2,137	1,255	1,075	1,070	1,343	1,157	1,127	903	626	668	617	365	185	56	14	16
2018	종로구	혜화동	외국인	3,283	7	8	4	459	2,050	510	108	60	18	16	16	17	5	2	2	-	-	1	-	-	-
2018	중구	소계	계	135,633	4,185	3,935	3,453	4,964	9,842	11,591	11,116	11,435	9,473	10,902	10,879	11,800	10,053	6,750	5,468	4,682	2,793	1,414	535	184	179
2018	중구	소계	한국인	125,725	3,893	3,704	3,282	4,411	7,866	10,401	10,092	10,678	8,784	10,184	10,085	10,939	9,656	6,620	5,423	4,641	2,770	1,403	533	181	179
2018	중구	소계	외국인	9,908	292	231	171	553	1,976	1,190	1,024	757	689	718	794	861	397	130	45	41	23	11	2	3	-
2018	중구	소공동	계	2,936	139	147	82	87	107	195	323	398	339	277	218	182	182	95	57	55	24	14	5	7	3
2018	중구	소공동	한국인	2,033	87	102	52	64	76	133	191	286	217	194	137	129	138	78	51	50	21	13	5	6	3
2018	중구	소공동	외국인	903	52	45	30	23	31	62	132	112	122	83	81	53	44	17	6	5	3	1	-	1	-
2018	중구	회현동	계	5,952	123	132	119	110	242	363	337	388	397	483	482	712	671	442	319	263	167	88	53	27	34
2018	중구	회현동	한국인	5,337	104	111	101	100	216	341	276	309	341	412	431	646	617	410	308	253	165	84	51	27	34
2018	중구	회현동	외국인	615	19	21	18	10	26	22	61	79	56	71	51	66	54	32	11	10	2	4	2	-	-
2018	중구	명동	계	3,470	60	95	65	68	178	255	264	262	259	325	299	302	337	225	165	143	92	43	17	9	7
2018	중구	명동	한국인	2,839	47	72	56	51	105	169	190	198	204	270	234	255	311	214	162	138	88	42	17	9	7
2018	중구	명동	외국인	631	13	23	9	17	73	86	74	64	55	55	65	47	26	11	3	5	4	1	-	-	-
2018	중구	필동	계	5,045	126	104	77	273	740	559	395	372	255	302	324	379	352	223	182	162	105	66	30	10	9
2018	중구	필동	한국인	4,003	114	103	77	123	292	346	305	336	237	286	304	354	343	223	182	162	102	65	30	10	9
2018	중구	필동	외국인	1,042	12	1	-	150	448	213	90	36	18	16	20	25	9	-	-	-	3	1	-	-	-
2018	중구	장충동	계	5,653	122	116	145	310	935	732	433	364	347	367	327	356	325	213	196	181	101	56	18	7	2
2018	중구	장충동	한국인	4,722	103	100	135	202	577	576	381	325	305	332	300	322	297	209	196	178	101	56	18	7	2
2018	중구	장충동	외국인	931	19	16	10	108	358	156	52	39	42	35	27	34	28	4	-	3	-	-	-	-	-
2018	중구	광희동	계	6,057	89	100	100	215	508	611	469	431	387	430	488	613	501	389	288	207	130	56	24	8	13
2018	중구	광희동	한국인	4,929	68	86	90	132	267	463	363	344	296	350	401	506	466	377	287	205	128	55	24	8	13
2018	중구	광희동	외국인	1,128	21	14	10	83	241	148	106	87	91	80	87	107	35	12	1	2	2	1	-	-	-
2018	중구	을지로동	계	1,901	22	28	14	37	139	148	150	107	93	107	158	227	213	165	101	87	54	25	14	3	9
2018	중구	을지로동	한국인	1,716	21	22	13	25	81	126	132	92	84	102	145	220	205	161	97	87	52	25	14	3	9
2018	중구	을지로동	외국인	185	1	6	1	12	58	22	18	15	9	5	13	7	8	4	4	-	2	-	-	-	-
2018	중구	신당5동	계	9,691	299	303	268	367	651	751	680	767	705	875	922	869	709	472	397	335	192	84	27	9	9
2018	중구	신당5동	한국인	9,358	293	296	261	363	613	717	638	748	688	839	880	817	692	465	394	334	191	84	27	9	9
2018	중구	신당5동	외국인	333	6	7	7	4	38	34	42	19	17	36	42	52	17	7	3	1	1	-	-	-	-
2018	중구	황학동	계	13,380	513	330	246	360	908	1,413	1,515	1,396	908	1,048	1,021	1,050	878	614	478	347	191	113	31	9	11
2018	중구	황학동	한국인	12,373	470	300	229	330	753	1,313	1,405	1,331	846	967	906	921	826	603	476	343	190	113	31	9	11
2018	중구	황학동	외국인	1,007	43	30	17	30	155	100	110	65	62	81	115	129	52	11	2	4	1	-	-	-	-
2018	중구	중림동	계	12,980	647	445	369	488	715	908	1,202	1,408	993	1,023	1,026	1,049	820	561	484	389	257	116	34	21	25
2018	중구	중림동	한국인	12,648	633	439	366	478	676	876	1,153	1,373	958	994	999	1,021	810	556	482	385	255	115	34	20	25
2018	중구	중림동	외국인	332	14	6	3	10	39	32	49	35	35	29	27	28	10	5	2	4	2	1	-	1	-
2018	중구	신당동	계	9,419	196	152	169	304	842	1,025	828	728	608	847	838	964	614	391	346	281	138	95	34	10	9
2018	중구	신당동	한국인	7,716	151	125	143	236	541	837	664	609	506	706	645	742	541	373	338	278	135	94	34	9	9
2018	중구	신당동	외국인	1,703	45	27	26	68	301	188	164	119	102	141	193	222	73	18	8	3	3	1	-	1	-
2018	중구	다산동	계	15,113	328	370	383	655	1,213	1,375	1,286	1,189	1,054	1,280	1,189	1,254	1,110	724	641	593	263	133	48	12	13
2018	중구	다산동	한국인	14,600	312	358	365	633	1,063	1,306	1,236	1,156	1,027	1,242	1,166	1,220	1,096	723	637	591	263	133	48	12	13
2018	중구	다산동	외국인	513	16	12	18	22	150	69	50	33	27	38	23	34	14	1	4	2	-	-	-	-	-
2018	중구	약수동	계	17,973	674	673	506	616	944	1,199	1,259	1,579	1,306	1,410	1,408	1,506	1,495	1,019	834	704	494	226	88	18	15
2018	중구	약수동	한국인	17,756	664	660	494	608	930	1,184	1,236	1,549	1,285	1,391	1,387	1,493	1,485	1,014	833	703	494	225	88	18	15
2018	중구	약수동	외국인	217	10	13	12	8	14	15	23	30	21	19	21	13	10	5	1	1	-	1	-	-	-
2018	중구	청구동	계	14,844	444	493	458	599	954	1,177	1,258	1,173	1,016	1,195	1,178	1,322	1,071	698	609	571	345	195	62	18	8
2018	중구	청구동	한국인	14,652	434	491	453	591	925	1,155	1,238	1,161	994	1,178	1,166	1,299	1,063	697	609	570	345	195	62	18	8
2018	중구	청구동	외국인	192	10	2	5	8	29	22	20	12	22	17	12	23	8	1	-	1	-	-	-	-	-
2018	중구	동화동	계	11,219	403	447	452	475	766	880	717	873	806	933	1,001	1,015	775	519	371	364	240	104	50	16	12
2018	중구	동화동	한국인	11,043	392	439	447	475	751	859	684	861	796	921	984	994	766	517	371	364	240	104	50	16	12
2018	중구	동화동	외국인	176	11	8	5	-	15	21	33	12	10	12	17	21	9	2	-	-	-	-	-	-	-
2018	용산구	소계	계	245,090	7,839	8,333	8,097	10,161	15,347	20,399	20,700	21,848	18,534	21,672	19,035	19,244	16,241	11,019	9,120	8,032	5,232	2,525	1,005	368	339
2018	용산구	소계	한국인	228,999	7,154	7,552	7,532	9,617	13,886	18,629	18,468	19,817	16,858	20,272	17,911	18,336	15,755	10,782	9,022	7,973	5,212	2,521	1,000	365	337
2018	용산구	소계	외국인	16,091	685	781	565	544	1,461	1,770	2,232	2,031	1,676	1,400	1,124	908	486	237	98	59	20	4	5	3	2
2018	용산구	후암동	계	18,703	580	598	646	879	1,154	1,475	1,515	1,579	1,369	1,695	1,489	1,541	1,249	891	739	583	387	172	99	38	25
2018	용산구	후암동	한국인	18,144	561	585	627	864	1,126	1,432	1,449	1,513	1,319	1,630	1,437	1,472	1,221	873	736	580	386	172	99	37	25
2018	용산구	후암동	외국인	559	19	13	19	15	28	43	66	66	50	65	52	69	28	18	3	3	1	-	-	1	-
2018	용산구	용산2가동	계	12,107	275	289	317	462	802	1,249	1,179	1,115	836	950	820	941	856	630	474	434	263	134	41	20	20
2018	용산구	용산2가동	한국인	10,689	236	255	292	397	639	1,004	936	933	698	838	751	888	824	622	469	430	262	134	41	20	20
2018	용산구	용산2가동	외국인	1,418	39	34	25	65	163	245	243	182	138	112	69	53	32	8	5	4	1	-	-	-	-
2018	용산구	남영동	계	8,501	150	132	128	197	535	666	617	562	532	781	878	953	820	526	380	299	177	80	36	23	29
2018	용산구	남영동	한국인	7,821	142	115	112	172	366	610	545	515	492	714	821	897	787	518	378	294	176	80	36	23	28
2018	용산구	남영동	외국인	680	8	17	16	25	169	56	72	47	40	67	57	56	33	8	2	5	1	-	-	-	1
2018	용산구	원효로2동	계	15,064	516	600	665	801	951	1,027	1,008	1,268	1,149	1,422	1,180	1,179	1,007	683	597	454	325	160	44	15	13
2018	용산구	원효로2동	한국인	14,912	513	596	662	801	940	1,011	992	1,247	1,131	1,405	1,166	1,166	996	681	596	453	324	160	44	15	13
2018	용산구	원효로2동	외국인	152	3	4	3	-	11	16	16	21	18	17	14	13	11	2	1	1	1	-	-	-	-
2018	용산구	효창동	계	9,054	359	325	325	458	618	734	775	837	651	784	680	681	536	341	315	285	203	88	34	13	12
2018	용산구	효창동	한국인	8,944	355	320	324	457	611	715	756	826	644	771	669	677	534	337	315	283	203	88	34	13	12
2018	용산구	효창동	외국인	110	4	5	1	1	7	19	19	11	7	13	11	4	2	4	-	2	-	-	-	-	-
2018	용산구	용문동	계	12,757	470	440	431	592	815	978	1,026	1,154	956	1,101	1,007	992	840	634	495	420	231	105	43	15	12
2018	용산구	용문동	한국인	12,625	467	437	425	587	804	968	1,006	1,143	945	1,086	990	980	834	634	495	418	231	105	43	15	12
2018	용산구	용문동	외국인	132	3	3	6	5	11	10	20	11	11	15	17	12	6	-	-	2	-	-	-	-	-
2018	용산구	이촌1동	계	29,341	1,335	1,785	1,680	1,510	1,511	1,467	1,723	2,405	2,592	2,966	2,344	2,030	1,685	1,080	949	939	717	395	138	56	34
2018	용산구	이촌1동	한국인	28,302	1,270	1,662	1,599	1,473	1,502	1,451	1,643	2,270	2,437	2,850	2,271	1,974	1,641	1,050	939	936	712	394	138	56	34
2018	용산구	이촌1동	외국인	1,039	65	123	81	37	9	16	80	135	155	116	73	56	44	30	10	3	5	1	-	-	-
2018	용산구	이촌2동	계	9,090	371	268	258	338	450	582	757	833	604	721	684	781	770	496	403	363	222	115	47	11	16
2018	용산구	이촌2동	한국인	8,990	368	260	253	336	447	577	747	818	592	713	674	770	769	491	402	362	222	115	47	11	16
2018	용산구	이촌2동	외국인	100	3	8	5	2	3	5	10	15	12	8	10	11	1	5	1	1	-	-	-	-	-
2018	용산구	이태원1동	계	9,315	225	201	186	261	732	1,086	961	889	641	672	610	711	613	447	361	286	226	129	44	14	20
2018	용산구	이태원1동	한국인	7,042	160	133	142	184	390	670	582	583	433	530	508	651	582	430	352	282	226	128	43	13	20
2018	용산구	이태원1동	외국인	2,273	65	68	44	77	342	416	379	306	208	142	102	60	31	17	9	4	-	1	1	1	-
2018	용산구	이태원2동	계	10,927	322	320	307	357	610	1,051	1,090	1,032	866	905	707	803	710	475	472	426	271	121	54	14	14
2018	용산구	이태원2동	한국인	9,463	242	261	252	317	515	870	828	832	712	779	618	752	675	455	462	420	270	121	54	14	14
2018	용산구	이태원2동	외국인	1,464	80	59	55	40	95	181	262	200	154	126	89	51	35	20	10	6	1	-	-	-	-
2018	용산구	서빙고동	계	14,257	410	616	685	952	983	900	734	1,044	1,151	1,575	1,286	1,059	821	503	436	444	401	179	59	12	7
2018	용산구	서빙고동	한국인	13,502	365	567	640	921	948	865	665	932	1,069	1,487	1,225	1,009	795	493	427	437	400	179	59	12	7
2018	용산구	서빙고동	외국인	755	45	49	45	31	35	35	69	112	82	88	61	50	26	10	9	7	1	-	-	-	-
2018	용산구	보광동	계	16,124	333	335	405	575	1,058	1,551	1,368	1,366	1,108	1,443	1,358	1,370	1,185	795	669	587	340	166	56	36	20
2018	용산구	보광동	한국인	14,858	269	285	381	552	960	1,375	1,155	1,178	966	1,346	1,277	1,299	1,164	785	666	585	339	166	55	35	20
2018	용산구	보광동	외국인	1,266	64	50	24	23	98	176	213	188	142	97	81	71	21	10	3	2	1	-	1	1	-
2018	용산구	청파동	계	20,922	403	436	543	910	2,029	2,292	1,781	1,486	1,403	1,763	1,649	1,666	1,329	943	796	770	433	168	66	24	32
2018	용산구	청파동	한국인	20,105	393	428	532	877	1,801	2,175	1,689	1,441	1,365	1,719	1,584	1,581	1,309	932	790	768	433	167	66	24	31
2018	용산구	청파동	외국인	817	10	8	11	33	228	117	92	45	38	44	65	85	20	11	6	2	-	1	-	-	1
2018	용산구	원효로1동	계	16,034	769	673	445	502	892	1,493	1,825	1,884	1,358	1,268	1,041	1,123	919	593	439	393	225	105	52	17	18
2018	용산구	원효로1동	한국인	15,421	738	641	428	484	854	1,442	1,737	1,807	1,300	1,215	995	1,068	894	582	430	389	225	105	52	17	18
2018	용산구	원효로1동	외국인	613	31	32	17	18	38	51	88	77	58	53	46	55	25	11	9	4	-	-	-	-	-
2018	용산구	한강로동	계	19,209	589	565	441	575	1,049	1,754	1,975	1,819	1,407	1,534	1,559	1,603	1,361	883	730	592	401	199	107	27	39
2018	용산구	한강로동	한국인	17,667	494	442	363	520	1,009	1,683	1,824	1,624	1,208	1,370	1,429	1,506	1,286	847	710	586	398	198	104	27	39
2018	용산구	한강로동	외국인	1,542	95	123	78	55	40	71	151	195	199	164	130	97	75	36	20	6	3	1	3	-	-
2018	용산구	한남동	계	23,685	732	750	635	792	1,158	2,094	2,366	2,575	1,911	2,092	1,743	1,811	1,540	1,099	865	757	410	209	85	33	28
2018	용산구	한남동	한국인	20,514	581	565	500	675	974	1,781	1,914	2,155	1,547	1,819	1,496	1,646	1,444	1,052	855	750	405	209	85	33	28
2018	용산구	한남동	외국인	3,171	151	185	135	117	184	313	452	420	364	273	247	165	96	47	10	7	5	-	-	-	-
2018	성동구	소계	계	316,463	12,345	11,081	10,222	13,137	23,163	26,888	26,102	28,711	23,476	26,817	25,169	25,698	20,887	13,756	11,127	9,073	5,307	2,239	790	243	232
2018	성동구	소계	한국인	308,221	12,124	10,953	10,161	12,808	21,164	25,733	25,248	28,111	22,986	26,245	24,468	24,981	20,610	13,669	11,106	9,060	5,300	2,235	789	241	229
2018	성동구	소계	외국인	8,242	221	128	61	329	1,999	1,155	854	600	490	572	701	717	277	87	21	13	7	4	1	2	3
2018	성동구	왕십리2동	계	18,148	726	594	638	773	1,235	1,536	1,583	1,663	1,326	1,573	1,440	1,488	1,151	819	636	489	286	117	33	24	18
2018	성동구	왕십리2동	한국인	17,748	711	589	634	765	1,171	1,480	1,534	1,631	1,296	1,543	1,386	1,448	1,144	816	634	488	286	117	33	24	18
2018	성동구	왕십리2동	외국인	400	15	5	4	8	64	56	49	32	30	30	54	40	7	3	2	1	-	-	-	-	-
2018	성동구	마장동	계	24,157	718	701	803	1,064	2,196	2,560	1,852	1,779	1,450	1,927	1,927	2,012	1,682	1,148	881	749	433	181	59	21	14
2018	성동구	마장동	한국인	23,446	707	690	800	1,034	1,992	2,443	1,779	1,734	1,413	1,880	1,862	1,974	1,662	1,141	879	749	432	181	59	21	14
2018	성동구	마장동	외국인	711	11	11	3	30	204	117	73	45	37	47	65	38	20	7	2	-	1	-	-	-	-
2018	성동구	사근동	계	13,408	277	230	253	726	3,064	2,422	1,108	771	573	726	649	646	545	386	384	363	178	67	24	8	8
2018	성동구	사근동	한국인	11,624	268	226	251	560	2,041	2,064	994	723	561	710	637	640	537	382	383	363	178	67	24	8	7
2018	성동구	사근동	외국인	1,784	9	4	2	166	1,023	358	114	48	12	16	12	6	8	4	1	-	-	-	-	-	1
2018	성동구	행당1동	계	16,728	575	524	534	699	1,383	1,537	1,376	1,399	1,227	1,352	1,363	1,384	1,102	712	609	491	261	136	36	19	9
2018	성동구	행당1동	한국인	16,238	568	518	533	677	1,194	1,472	1,330	1,374	1,207	1,334	1,328	1,342	1,091	711	608	490	261	136	36	19	9
2018	성동구	행당1동	외국인	490	7	6	1	22	189	65	46	25	20	18	35	42	11	1	1	1	-	-	-	-	-
2018	성동구	행당2동	계	25,075	1,052	1,106	1,189	1,256	1,572	1,534	1,730	2,271	2,186	2,421	1,992	1,863	1,518	1,071	902	716	431	156	75	13	21
2018	성동구	행당2동	한국인	24,986	1,050	1,106	1,184	1,253	1,560	1,530	1,720	2,266	2,172	2,410	1,984	1,855	1,514	1,071	902	714	431	156	75	13	20
2018	성동구	행당2동	외국인	89	2	-	5	3	12	4	10	5	14	11	8	8	4	-	-	2	-	-	-	-	1
2018	성동구	응봉동	계	16,405	584	779	969	890	934	876	1,035	1,402	1,515	1,711	1,236	1,143	970	687	620	537	321	136	40	14	6
2018	성동구	응봉동	한국인	16,340	580	778	969	889	928	870	1,026	1,395	1,505	1,704	1,230	1,138	968	686	620	537	321	136	40	14	6
2018	성동구	응봉동	외국인	65	4	1	-	1	6	6	9	7	10	7	6	5	2	1	-	-	-	-	-	-	-
2018	성동구	금호1가동	계	16,191	745	623	551	699	945	1,047	1,329	1,680	1,287	1,397	1,226	1,241	1,116	745	579	480	309	132	39	8	13
2018	성동구	금호1가동	한국인	16,087	741	617	549	698	943	1,038	1,316	1,662	1,276	1,386	1,224	1,227	1,112	742	575	480	309	132	39	8	13
2018	성동구	금호1가동	외국인	104	4	6	2	1	2	9	13	18	11	11	2	14	4	3	4	-	-	-	-	-	-
2018	성동구	금호4가동	계	15,488	826	717	511	510	775	968	1,320	1,736	1,383	1,313	1,121	1,146	1,039	657	578	443	284	100	41	11	9
2018	성동구	금호4가동	한국인	15,345	825	713	510	506	763	958	1,303	1,722	1,365	1,300	1,107	1,126	1,026	656	578	443	284	99	41	11	9
2018	성동구	금호4가동	외국인	143	1	4	1	4	12	10	17	14	18	13	14	20	13	1	-	-	-	1	-	-	-
2018	성동구	성수1가1동	계	17,570	629	546	572	812	1,201	1,551	1,587	1,534	1,211	1,601	1,585	1,564	1,192	660	530	395	243	105	31	10	11
2018	성동구	성수1가1동	한국인	17,242	618	538	568	807	1,177	1,507	1,537	1,502	1,179	1,570	1,550	1,529	1,186	653	529	395	242	105	30	10	10
2018	성동구	성수1가1동	외국인	328	11	8	4	5	24	44	50	32	32	31	35	35	6	7	1	-	1	-	1	-	1
2018	성동구	성수1가2동	계	15,786	496	511	487	626	1,079	1,549	1,528	1,424	1,199	1,336	1,204	1,302	1,070	646	507	436	222	105	36	10	13
2018	성동구	성수1가2동	한국인	15,332	477	500	486	618	1,007	1,466	1,463	1,389	1,173	1,309	1,163	1,255	1,058	641	506	436	222	105	36	9	13
2018	성동구	성수1가2동	외국인	454	19	11	1	8	72	83	65	35	26	27	41	47	12	5	1	-	-	-	-	1	-
2018	성동구	성수2가1동	계	18,317	535	464	479	703	1,059	1,561	1,505	1,411	1,252	1,560	1,683	1,967	1,511	920	649	543	301	128	56	17	13
2018	성동구	성수2가1동	한국인	17,580	507	449	475	698	1,025	1,489	1,428	1,352	1,192	1,471	1,573	1,845	1,463	912	646	542	300	128	56	16	13
2018	성동구	성수2가1동	외국인	737	28	15	4	5	34	72	77	59	60	89	110	122	48	8	3	1	1	-	-	1	-
2018	성동구	성수2가3동	계	11,915	384	316	256	394	835	1,247	1,154	1,059	731	924	966	1,078	860	591	441	343	210	85	23	9	9
2018	성동구	성수2가3동	한국인	11,556	377	309	253	380	794	1,200	1,107	1,021	708	890	934	1,033	849	583	441	342	209	85	23	9	9
2018	성동구	성수2가3동	외국인	359	7	7	3	14	41	47	47	38	23	34	32	45	11	8	-	1	1	-	-	-	-
2018	성동구	송정동	계	11,778	351	309	303	421	792	1,017	954	986	811	1,008	1,112	1,191	899	583	417	325	184	76	28	4	7
2018	성동구	송정동	한국인	11,267	331	299	303	416	742	967	899	931	769	963	1,054	1,117	870	570	414	324	183	76	28	4	7
2018	성동구	송정동	외국인	511	20	10	-	5	50	50	55	55	42	45	58	74	29	13	3	1	1	-	-	-	-
2018	성동구	용답동	계	15,659	343	334	367	616	1,120	1,413	1,156	1,136	1,077	1,463	1,530	1,520	1,192	734	682	513	309	105	37	8	4
2018	성동구	용답동	한국인	14,569	297	312	356	578	982	1,284	1,065	1,060	1,014	1,353	1,389	1,377	1,129	720	681	510	309	104	37	8	4
2018	성동구	용답동	외국인	1,090	46	22	11	38	138	129	91	76	63	110	141	143	63	14	1	3	-	1	-	-	-
2018	성동구	왕십리도선동	계	27,853	1,391	1,237	716	1,010	2,106	2,521	2,401	2,694	2,039	2,207	2,290	2,231	1,644	1,058	848	726	432	186	73	16	27
