"메인 키","기관 코드","유형1","유형2","대표 기관명","전체 기관명","최하위 기관명","대표 전화번호","새 우편번호","지번 주소","도로명 주소","행정 시","행정 구","행정 동"
"BE_LiST31-0506","6110575","지자체","소방_소방서","서울특별시","서울특별시 동대문소방서","동대문소방서","02-2212-0199","02644","","서울특별시 동대문구 장한로 34","서울특별시","동대문구","장안1동"
"BE_LiST31-0507","6110591","지자체","소방_소방서","서울특별시","서울특별시 동작소방서","동작소방서","02-847-1190","07062","","서울특별시 동작구 여의대방로16길 55","서울특별시","동작구","신대방2동"
"BE_LiST31-0508","6110581","지자체","소방_소방서","서울특별시","서울특별시 마포소방서","마포소방서","02-701-3495","04098","","서울특별시 마포구 창전로 76","서울특별시","마포구","신수동"
"BE_LiST31-0509","6111663","지자체","소방_소방서","서울특별시","서울특별시 서대문소방서","서대문소방서","02-3144-1190","03720","","서울특별시 서대문구 연희로 182","서울특별시","서대문구","연희동"
"BE_LiST31-0510","6110583","지자체","소방_소방서","서울특별시","서울특별시 서초소방서","서초소방서","02-591-0119","06550","","서울특별시 서초구 사평대로 67","서울특별시","서초구","반포2동"
"BE_LiST31-0511","6110577","지자체","소방_소방서","서울특별시","서울특별시 성북소방서","성북소방서","02-925-2001","02803","","서울특별시 성북구 종암로 27길 3","서울특별시","성북구","종암동"
"BE_LiST31-0512","6111585","지자체","소방_소방서","서울특별시","서울특별시 소방서","소방서","02-3706-1315","04628","","서울특별시 중구 퇴계로26길 52","서울특별시","중구","필동"
"BE_LiST31-0513","6110588","지자체","소방_소방서","서울특별시","서울특별시 송파소방서","송파소방서","02-431-5119","05737","","서울특별시 송파구 오금로51길 56","서울특별시","송파구","마천2동"
"BE_LiST31-0514","6110589","지자체","소방_소방서","서울특별시","서울특별시 양천소방서","양천소방서","02-2655-1119","07992","","서울특별시 양천구 목동서로 180","서울특별시","양천구","목1동"
"BE_LiST31-0313","3070049","지자체","8읍면동_동","서울특별시","서울특별시 성북구 안암동주민센터","안암동주민센터","02-2241-5200","02853","","서울특별시 성북구 인촌로 16 (안암동)","서울특별시","성북구","안암동"
"BE_LiST31-0314","3070060","지자체","8읍면동_동","서울특별시","서울특별시 성북구 월곡1동주민센터","월곡1동주민센터","02-2241-5560","02741","","서울특별시 성북구 오패산로 96 (월곡동)","서울특별시","성북구","월곡1동"
"BE_LiST31-0315","3070061","지자체","8읍면동_동","서울특별시","서울특별시 성북구 월곡2동주민센터","월곡2동주민센터","02-2241-5600","02793","","서울특별시 성북구 화랑로 152 (월곡동)","서울특별시","성북구","월곡2동"
"BE_LiST31-0316","3070065","지자체","8읍면동_동","서울특별시","서울특별시 성북구 장위1동주민센터","장위1동주민센터","02-2241-5640","02756","","서울특별시 성북구 장위로 61 (장위동)","서울특별시","성북구","장위1동"
"BE_LiST31-0317","3070066","지자체","8읍면동_동","서울특별시","서울특별시 성북구 장위2동주민센터","장위2동주민센터","02-2241-5680","02770","","서울특별시 성북구 돌곶이로27길 12 (장위동)","서울특별시","성북구","장위2동"
"BE_LiST31-0318","3070067","지자체","8읍면동_동","서울특별시","서울특별시 성북구 장위3동주민센터","장위3동주민센터","02-2241-5720","02774","","서울특별시 성북구 한천로 657 (장위동)","서울특별시","성북구","장위3동"
"BE_LiST31-0319","3070051","지자체","8읍면동_동","서울특별시","서울특별시 성북구 정릉1동주민센터","정릉1동주민센터","02-2241-5280","02819","","서울특별시 성북구 정릉로38마길 33 (정릉동)","서울특별시","성북구","정릉1동"
"BE_LiST31-0320","3070052","지자체","8읍면동_동","서울특별시","서울특별시 성북구 정릉2동주민센터","정릉2동주민센터","02-2241-5320","02814","","서울특별시 성북구 정릉로26길 1 (정릉동)","서울특별시","성북구","정릉2동"
"BE_LiST31-0321","3070053","지자체","8읍면동_동","서울특별시","서울특별시 성북구 정릉3동주민센터","정릉3동주민센터","02-2241-5360","02708","","서울특별시 성북구 솔샘로1길 6-3 (정릉동)","서울특별시","성북구","정릉3동"
"BE_LiST31-0322","3070054","지자체","8읍면동_동","서울특별시","서울특별시 성북구 정릉4동주민센터","정릉4동주민센터","02-2241-5400","02702","","서울특별시 성북구 보국문로 106-1 (정릉동)","서울특별시","성북구","정릉4동"
"BE_LiST31-0323","3070144","지자체","8읍면동_동","서울특별시","서울특별시 성북구 종암동주민센터","종암동주민센터","02-2241-5520","02797","","서울특별시 성북구 종암로 98-8 (종암동)","서울특별시","성북구","종암동"
"BE_LiST31-0324","3230055","지자체","8읍면동_동","서울특별시","서울특별시 송파구 가락1동주민센터","가락1동주민센터","02-2147-4450","05698","","서울특별시 송파구 송파대로 345 (가락동 가락초등학교 내)","서울특별시","송파구","가락1동"
"BE_LiST31-0325","3230056","지자체","8읍면동_동","서울특별시","서울특별시 송파구 가락2동주민센터","가락2동주민센터","02-2147-4480","05822","","서울특별시 송파구 중대로20길 6 (가락동)","서울특별시","송파구","가락2동"
"BE_LiST31-0326","3230054","지자체","8읍면동_동","서울특별시","서울특별시 송파구 가락본동주민센터","가락본동주민센터","02-2147-4420","05717","","서울특별시 송파구 송파대로28길 39 (가락동)","서울특별시","송파구","가락본동"
"BE_LiST31-0327","3230042","지자체","8읍면동_동","서울특별시","서울특별시 송파구 거여1동주민센터","거여1동주민센터","02-2147-4060","05735","","서울특별시 송파구 오금로53길 (거여동)","서울특별시","송파구","잠실6동"
"BE_LiST31-0328","3230043","지자체","8읍면동_동","서울특별시","서울특별시 송파구 거여2동주민센터","거여2동주민센터","02-2147-4090","05768","","서울특별시 송파구 거마로2길 19 (거여동)","서울특별시","송파구","거여2동"
"BE_LiST31-0329","3230044","지자체","8읍면동_동","서울특별시","서울특별시 송파구 마천1동주민센터","마천1동주민센터","02-2147-4120","05757","","서울특별시 송파구 마천로 303 (마천동)","서울특별시","송파구","마천1동"
"BE_LiST31-0330","3230045","지자체","8읍면동_동","서울특별시","서울특별시 송파구 마천2동주민센터","마천2동주민센터","02-2147-4150","05756","","서울특별시 송파구 마천로 287 (마천동)","서울특별시","송파구","마천2동"
"BE_LiST31-0331","3230057","지자체","8읍면동_동","서울특별시","서울특별시 송파구 문정1동주민센터","문정1동주민센터","02-2147-4510","05804","","서울특별시 송파구 동남로 116 (문정동)","서울특별시","송파구","문정1동"
"BE_LiST31-0332","3230058","지자체","8읍면동_동","서울특별시","서울특별시 송파구 문정2동주민센터","문정2동주민센터","02-2147-4540","05834","","서울특별시 송파구 새말로19길 6 (문정동)","서울특별시","송파구","장지동"
"BE_LiST31-0333","3230046","지자체","8읍면동_동","서울특별시","서울특별시 송파구 방이1동주민센터","방이1동주민센터","02-2147-4180","05640","","서울특별시 송파구 방이1동 26 (방이동)","서울특별시","송파구","오륜동"
"BE_LiST31-0334","3230047","지자체","8읍면동_동","서울특별시","서울특별시 송파구 방이2동주민센터","방이2동주민센터","02-2147-4210","05546","","서울특별시 송파구 백제고분로 495 (방이동)","서울특별시","송파구","방이2동"
"BE_LiST31-0335","3230053","지자체","8읍면동_동","서울특별시","서울특별시 송파구 삼전동주민센터","삼전동주민센터","02-2147-4390","05584","","서울특별시 송파구 백제고분로 236 (삼전동)","서울특별시","송파구","삼전동"
"BE_LiST31-0336","3230052","지자체","8읍면동_동","서울특별시","서울특별시 송파구 석촌동주민센터","석촌동주민센터","02-2147-4360","05684","","서울특별시 송파구 백제고분로37길 16 (석촌동)","서울특별시","송파구","석촌동"
"BE_LiST31-0337","3230050","지자체","8읍면동_동","서울특별시","서울특별시 송파구 송파1동주민센터","송파1동주민센터","02-2147-4300","05666","","서울특별시 송파구 백제고분로42길 5 (송파동)","서울특별시","송파구","송파1동"
"BE_LiST31-0338","3230051","지자체","8읍면동_동","서울특별시","서울특별시 송파구 송파2동주민센터","송파2동주민센터","02-2147-4330","05674","","서울특별시 송파구 송이로 32 (송파동)","서울특별시","송파구","송파2동"
"BE_LiST31-0032","3220049","지자체","8읍면동_동","서울특별시","서울특별시 강남구 대치1동주민센터","대치1동주민센터","02-3423-8320","06280","","서울특별시 강남구 남부순환로391길 19","서울특별시","강남구","대치1동"
"BE_LiST31-0033","3220050","지자체","8읍면동_동","서울특별시","서울특별시 강남구 대치2동주민센터","대치2동주민센터","02-3423-8420","06187","","서울특별시 강남구 영동대로65길 24","서울특별시","강남구","대치2동"
"BE_LiST31-0034","3220052","지자체","8읍면동_동","서울특별시","서울특별시 강남구 대치4동주민센터","대치4동주민센터","02-3423-8520","06204","","서울특별시 강남구 도곡로77길 23","서울특별시","강남구","대치4동"
"BE_LiST31-0035","3220055","지자체","8읍면동_동","서울특별시","서울특별시 강남구 도곡1동주민센터","도곡1동주민센터","02-3423-7470","06269","","서울특별시 강남구 도곡로18길 57","서울특별시","강남구","도곡1동"
"BE_LiST31-0036","3220056","지자체","8읍면동_동","서울특별시","서울특별시 강남구 도곡2동주민센터","도곡2동주민센터","02-3423-7570","06300","","서울특별시 강남구 남부순환로378길 34-9","서울특별시","강남구","도곡2동"
"BE_LiST31-0037","3220047","지자체","8읍면동_동","서울특별시","서울특별시 강남구 삼성1동주민센터","삼성1동주민센터","02-3413-7820","06170","","서울특별시 강남구 봉은사로 616","서울특별시","강남구","삼성1동"
"BE_LiST31-0038","3220048","지자체","8읍면동_동","서울특별시","서울특별시 강남구 삼성2동주민센터","삼성2동주민센터","02-3423-8220","06097","","서울특별시 강남구 봉은사로 419","서울특별시","강남구","삼성2동"
"BE_LiST31-0039","3220061","지자체","8읍면동_동","서울특별시","서울특별시 강남구 세곡동주민센터","세곡동주민센터","02-3423-8670","06377","","서울특별시 강남구 밤고개로 286","서울특별시","강남구","세곡동"
"BE_LiST31-0040","3220065","지자체","8읍면동_동","서울특별시","서울특별시 강남구 수서동주민센터","수서동주민센터","02-3423-8570","06349","","서울특별시 강남구 광평로 301-4","서울특별시","강남구","수서동"
"BE_LiST31-0041","3220040","지자체","8읍면동_동","서울특별시","서울특별시 강남구 신사동주민센터","신사동주민센터","02-3423-7320","06029","","서울특별시 강남구 압구정로 128","서울특별시","강남구","신사동"
"BE_LiST31-0042","3220141","지자체","8읍면동_동","서울특별시","서울특별시 강남구 압구정동주민센터","압구정동주민센터","02-3423-7620","06004","","서울특별시 강남구 압구정로33길48","서울특별시","강남구","압구정동"
"BE_LiST31-0043","3220053","지자체","8읍면동_동","서울특별시","서울특별시 강남구 역삼1동주민센터","역삼1동주민센터","02-3423-8620","06244","","서울특별시 강남구 역삼로7길 16","서울특별시","강남구","역삼1동"
"BE_LiST31-0044","3220054","지자체","8읍면동_동","서울특별시","서울특별시 강남구 역삼2동주민센터","역삼2동주민센터","02-3423-7370","06219","","서울특별시 강남구 도곡로43길 25","서울특별시","강남구","역삼2동"
"BE_LiST31-0045","3220063","지자체","8읍면동_동","서울특별시","서울특별시 강남구 일원1동주민센터","일원1동주민센터","02-3423-8370","06341","","서울특별시 강남구 양재대로55길 14","서울특별시","강남구","일원1동"
"BE_LiST31-0046","3220064","지자체","8읍면동_동","서울특별시","서울특별시 강남구 일원2동주민센터","일원2동주민센터","02-3423-8470","06335","","서울특별시 강남구 개포로 607","서울특별시","강남구","일원2동"
"BE_LiST31-0047","3220062","지자체","8읍면동_동","서울특별시","서울특별시 강남구 일원본동주민센터","일원본동주민센터","02-3423-8270","06361","","서울특별시 강남구 광평로 126","서울특별시","강남구","일원본동"
"BE_LiST31-0048","3220142","지자체","8읍면동_동","서울특별시","서울특별시 강남구 청담동주민센터","청담동주민센터","02-3423-7720","06012","","서울특별시 강남구 압구정로79길 26","서울특별시","강남구","청담동"
"BE_LiST31-0049","3240086","지자체","8읍면동_동","서울특별시","서울특별시 강동구 강일동주민센터","강일동주민센터","02-3425-7400","05211","","서울특별시 강동구 아리수로93길 9-14 (강일동)","서울특별시","강동구","강일동"
"BE_LiST31-0050","3240043","지자체","8읍면동_동","서울특별시","서울특별시 강동구 고덕1동주민센터","고덕1동주민센터","02-3425-7520","05231","","서울특별시 강동구 양재대로156길 123 (고덕동)","서울특별시","강동구","고덕1동"
"BE_LiST31-0051","3240044","지자체","8읍면동_동","서울특별시","서울특별시 강동구 고덕2동주민센터","고덕2동주민센터","02-3425-7550","05220","","서울특별시 강동구 아리수로78길 43-12 (고덕동)","서울특별시","강동구","고덕2동"
"BE_LiST31-0052","3240152","지자체","8읍면동_동","서울특별시","서울특별시 강동구 길동주민센터","길동주민센터","02-3425-7850","05344","","서울특별시 강동구 명일로 229-1 (길동)","서울특별시","강동구","길동"
"BE_LiST31-0053","3240058","지자체","8읍면동_동","서울특별시","서울특별시 강동구 둔촌1동주민센터","둔촌1동주민센터","02-3425-7880","05411","","서울특별시 강동구 양재대로84길 31 (둔촌동)","서울특별시","강동구","둔촌1동"
"BE_LiST31-0054","3240059","지자체","8읍면동_동","서울특별시","서울특별시 강동구 둔촌2동주민센터","둔촌2동주민센터","02-3425-7910","05361","","서울특별시 강동구 천호대로186길 7 (둔촌동)","서울특별시","강동구","둔촌2동"
"BE_LiST31-0055","3240041","지자체","8읍면동_동","서울특별시","서울특별시 강동구 명일1동주민센터","명일1동주민센터","02-3425-7460","05292","","서울특별시 강동구 양재대로138길 37 (명일동)","서울특별시","강동구","명일1동"
"BE_LiST31-0056","3240042","지자체","8읍면동_동","서울특별시","서울특별시 강동구 명일2동주민센터","명일2동주민센터","02-3425-7490","05299","","서울특별시 강동구 상암로 260 (명일동)","서울특별시","강동구","명일2동"
"BE_LiST31-0057","3240040","지자체","8읍면동_동","서울특별시","서울특별시 강동구 상일동주민센터","상일동주민센터","02-3425-7430","05276","","서울특별시 강동구 고덕로80길 111 (상일동)","서울특별시","강동구","상일동"
"BE_LiST31-0058","3240053","지자체","8읍면동_동","서울특별시","서울특별시 강동구 성내1동주민센터","성내1동주민센터","02-3425-7760","05392","","서울특별시 강동구 성내로 13 (성내동)","서울특별시","강동구","성내1동"
"BE_LiST31-0059","3240054","지자체","8읍면동_동","서울특별시","서울특별시 강동구 성내2동주민센터","성내2동주민센터","02-3425-7790","05388","","서울특별시 강동구 풍성로37가길 62 (성내동)","서울특별시","강동구","성내2동"
"BE_LiST31-0339","3230049","지자체","8읍면동_동","서울특별시","서울특별시 송파구 오금동주민센터","오금동주민센터","02-2147-4270","05661","","서울특별시 송파구 중대로2길 5 (오금동)","서울특별시","송파구","문정2동"
"BE_LiST31-0001","6110000","지자체","1시도_시","서울특별시","서울특별시청","서울특별시청","02-120","04524","","서울특별시 중구 세종대로 110","서울특별시","중구","명동"
"BE_LiST31-0282","3210042","지자체","8읍면동_동","서울특별시","서울특별시 서초구 서초3동주민센터","서초3동주민센터","02-2155-7480","06716","","서울특별시 서초구 반포대로10길 10","서울특별시","서초구","서초3동"
"BE_LiST31-0515","6110576","지자체","소방_소방서","서울특별시","서울특별시 영등포소방서","영등포소방서","02-2679-0120","07301","","서울특별시 영등포구 문래로 197","서울특별시","영등포구","영등포동"
"BE_LiST31-0226","3130057","지자체","8읍면동_동","서울특별시","서울특별시 마포구 망원1동주민센터","망원1동주민센터","02-3153-6800","04010","","서울특별시 마포구 포은로6길 10 (망원동)","서울특별시","마포구","망원1동"
"BE_LiST31-0227","3130058","지자체","8읍면동_동","서울특별시","서울특별시 마포구 망원2동주민센터","망원2동주민센터","02-3153-6830","03960","","서울특별시 마포구 방울내로7길 11 (망원동)","서울특별시","마포구","망원2동"
"BE_LiST31-0228","3130062","지자체","8읍면동_동","서울특별시","서울특별시 마포구 상암동주민센터","상암동주민센터","02-3153-6950","03927","","서울특별시 마포구 매봉산로2길 16 (상암동)","서울특별시","마포구","상암동"
"BE_LiST31-0229","3130124","지자체","8읍면동_동","서울특별시","서울특별시 마포구 서강동주민센터","서강동주민센터","02-3153-6710","04099","","서울특별시 마포구 독막로 165 (창전동)","서울특별시","마포구","서강동"
"BE_LiST31-0230","3130054","지자체","8읍면동_동","서울특별시","서울특별시 마포구 서교동주민센터","서교동주민센터","02-3153-6740","04003","","서울특별시 마포구 동교로15길 7 (서교동)","서울특별시","마포구","서교동"
"BE_LiST31-0231","3130060","지자체","8읍면동_동","서울특별시","서울특별시 마포구 성산1동주민센터","성산1동주민센터","02-3153-6890","03965","","서울특별시 마포구 성산로4길 15 (성산동)","서울특별시","마포구","성산1동"
"BE_LiST31-0232","3130061","지자체","8읍면동_동","서울특별시","서울특별시 마포구 성산2동주민센터","성산2동주민센터","02-3153-6920","03946","","서울특별시 마포구 월드컵북로30길 22 (성산동)","서울특별시","마포구","성산2동"
"BE_LiST31-0233","3130051","지자체","8읍면동_동","서울특별시","서울특별시 마포구 신수동주민센터","신수동주민센터","02-3153-6680","04089","","서울특별시 마포구 독막로 192 (신수동)","서울특별시","마포구","신수동"
"BE_LiST31-0234","3130136","지자체","8읍면동_동","서울특별시","서울특별시 마포구 아현동주민센터","아현동주민센터","02-3153-6530","04142","","서울특별시 마포구 마포대로7길 18 (공덕동)","서울특별시","마포구","아현동"
"BE_LiST31-0235","3130059","지자체","8읍면동_동","서울특별시","서울특별시 마포구 연남동주민센터","연남동주민센터","02-3153-6860","03979","","서울특별시 마포구 성미산로29길 17-9 (연남동)","서울특별시","마포구","연남동"
"BE_LiST31-0236","3130049","지자체","8읍면동_동","서울특별시","서울특별시 마포구 염리동주민센터","염리동주민센터","02-3153-6650","04138","","서울특별시 마포구 숭문길 14 (염리동)","서울특별시","마포구","염리동"
"BE_LiST31-0237","3130047","지자체","8읍면동_동","서울특별시","서울특별시 마포구 용강동주민센터","용강동주민센터","02-3153-6590","04161","","서울특별시 마포구 토정로31길 31 (용강동)","서울특별시","마포구","용강동"
"BE_LiST31-0238","3130056","지자체","8읍면동_동","서울특별시","서울특별시 마포구 합정동주민센터","합정동주민센터","02-3153-6770","04019","","서울특별시 마포구 동교로8길 58 (합정동)","서울특별시","마포구","합정동"
"BE_LiST31-0239","3120057","지자체","8읍면동_동","서울특별시","서울특별시 서대문구 남가좌1동주민센터","남가좌1동주민센터","02-330-8135","03712","","서울특별시 서대문구 수색로2길48 (남가좌동)","서울특별시","서대문구","남가좌1동"
"BE_LiST31-0240","3120058","지자체","8읍면동_동","서울특별시","서울특별시 서대문구 남가좌2동주민센터","남가좌2동주민센터","02-330-8137","03665","","서울특별시 서대문구 증가로10길28 (남가좌동)","서울특별시","서대문구","남가좌2동"
"BE_LiST31-0241","3120059","지자체","8읍면동_동","서울특별시","서울특별시 서대문구 북가좌1동주민센터","북가좌1동주민센터","02-330-8139","03709","","서울특별시 서대문구 수색로100-55 (북가좌동)","서울특별시","서대문구","천연동"
"BE_LiST31-0242","3120060","지자체","8읍면동_동","서울특별시","서울특별시 서대문구 북가좌2동주민센터","북가좌2동주민센터","02-330-8141","03678","","서울특별시 서대문구 응암로1길10 (북가좌동)","서울특별시","서대문구","북가좌2동"
"BE_LiST31-0243","3120127","지자체","8읍면동_동","서울특별시","서울특별시 서대문구 북아현동주민센터","북아현동주민센터","02-330-8105","03756","","서울특별시 서대문구 이화여대길92-8 (대현동)","서울특별시","서대문구","신촌동"
"BE_LiST31-0244","3120128","지자체","8읍면동_동","서울특별시","서울특별시 서대문구 신촌동주민센터","신촌동주민센터","02-330-8111","03765","","서울특별시 서대문구 이화여대길92-8 (대현동)","서울특별시","서대문구","신촌동"
"BE_LiST31-0245","3120129","지자체","8읍면동_동","서울특별시","서울특별시 서대문구 연희동주민센터","연희동주민센터","02-330-8115","03697","","서울특별시 서대문구 연희로189 (연희동)","서울특별시","서대문구","연희동"
"BE_LiST31-0246","3120040","지자체","8읍면동_동","서울특별시","서울특별시 서대문구 천연동주민센터","천연동주민센터","02-330-8103","03743","","서울특별시 서대문구 성산로694","서울특별시","서대문구","천연동"
"BE_LiST31-0247","3120126","지자체","8읍면동_동","서울특별시","서울특별시 서대문구 충현동주민센터","충현동주민센터","02-330-8101","03748","","서울특별시 서대문구 북아현로22길38 (북아현동)","서울특별시","서대문구","충현동"
"BE_LiST31-0248","3120054","지자체","8읍면동_동","서울특별시","서울특별시 서대문구 홍은1동주민센터","홍은1동주민센터","02-330-8129","03604","","서울특별시 서대문구 홍은중앙로85 (홍은동)","서울특별시","서대문구","홍은1동"
"BE_LiST31-0249","3120132","지자체","8읍면동_동","서울특별시","서울특별시 서대문구 홍은2동주민센터","홍은2동주민센터","02-330-8133","03658","","서울특별시 서대문구 모래내로334 (홍은동)","서울특별시","서대문구","홍은2동"
"BE_LiST31-0250","3120050","지자체","8읍면동_동","서울특별시","서울특별시 서대문구 홍제1동주민센터","홍제1동주민센터","02-330-8121","03646","","서울특별시 서대문구 통일로435-1 (홍제동)","서울특별시","종로구","무악동"
"BE_LiST31-0251","3120131","지자체","8읍면동_동","서울특별시","서울특별시 서대문구 홍제2동주민센터","홍제2동주민센터","02-330-8127","03632","","서울특별시 서대문구 통일로34길27 (홍제동)","서울특별시","서대문구","홍제2동"
"BE_LiST31-0252","3120052","지자체","8읍면동_동","서울특별시","서울특별시 서대문구 홍제3동주민센터","홍제3동주민센터","02-330-8125","03622","","서울특별시 서대문구 세검정로4길32 (홍제동)","서울특별시","서대문구","홍제3동"
"BE_LiST31-0516","6110574","지자체","소방_소방서","서울특별시","서울특별시 용산소방서","용산소방서","02-796-6361","04375","","서울특별시 용산구 한강대로 167","서울특별시","용산구","한강로동"
"BE_LiST31-0002","3220000","지자체","5시군구_구","서울특별시","서울특별시 강남구청","강남구청","02-3423-6000","06090","","서울특별시 강남구 학동로 426","서울특별시","강남구","삼성2동"
"BE_LiST31-0003","3240000","지자체","5시군구_구","서울특별시","서울특별시 강동구청","강동구청","02-3425-5000","05397","","서울특별시 강동구 성내로 25 (성내동)","서울특별시","강동구","성내1동"
"BE_LiST31-0004","3080000","지자체","5시군구_구","서울특별시","서울특별시 강북구청","강북구청","02-901-6301","01071","","서울특별시 강북구 도봉로89길 13","서울특별시","강북구","수유3동"
"BE_LiST31-0005","3150000","지자체","5시군구_구","서울특별시","서울특별시 강서구청","강서구청","02-2600-6114","07658","","서울특별시 강서구 화곡로 302 (화곡동)","서울특별시","강서구","화곡6동"
"BE_LiST31-0006","3200000","지자체","5시군구_구","서울특별시","서울특별시 관악구청","관악구청","02-879-6000","08832","","서울특별시 관악구 관악로 145","서울특별시","관악구","청룡동"
